geo,forest_products_removal_per_ha_dollar,time
idn,60492.6,2005
idn,59080.2,2010
idn,57667.8,2015
idn,57667.8,9999
ind,16260,1990
ind,16629,2000
ind,17219,2005
ind,17748,2010
ind,18528,2015
ind,18528,9999
irl,376.88,1990
irl,514.63,2000
irl,563.16,2005
irl,585.27,2010
irl,608.16,2015
irl,608.16,9999
irn,1500,1990
irn,1500,2000
irn,1500,2005
irn,1500,2010
irn,1500,2015
irn,1500,9999
irq,0,1990
irq,0,2000
irq,0,2005
irq,0,2010
irq,0,2015
irq,0,9999
isl,0.6,1990
isl,3.4,2000
isl,4.8,2005
isl,5.9,2010
isl,6.7,2015
isl,6.7,9999
isr,0,1990
isr,0,2000
isr,0,2005
isr,0,2010
isr,0,2015
isr,0,9999
ita,3936,1990
ita,3962,2000
ita,3975,2005
ita,3983,2010
ita,3990,2015
ita,3990,9999
jam,8.9,1990
jam,8.2,2000
jam,8.2,2005
jam,7.3,2010
jam,6.9,2015
jam,6.9,9999
jor,0,1990
jor,0,2000
jor,0,2005
jor,0,2010
jor,0,2015
jor,0,9999
kaz,0,1990
kaz,0,2000
kaz,0,2005
kaz,0,2010
kaz,0,2015
kaz,0,9999
ken,163,1990
ken,120,2000
ken,166,2005
ken,193,2010
ken,166,2015
ken,166,9999
kgz,0,1990
kgz,0,2000
kgz,0,2005
kgz,0,2010
kgz,0,2015
kgz,0,9999
khm,2244,1990
khm,4919,2000
khm,3374,2005
khm,3374,2010
khm,3374,2015
khm,3374,9999
kir,0,1990
kir,0,2000
kir,0,2005
kir,0,2010
kir,0,2015
kir,0,9999
kna,0,1990
kna,0,2000
kna,0,2005
kna,0,2010
kor,3469,2000
kor,3337,2005
kor,3276,2010
kor,3171,2015
kor,3171,9999
kwt,0,1990
kwt,0,2000
kwt,0,2005
kwt,0,2010
kwt,0,2015
kwt,0,9999
lao,2612.84,1990
lao,2477.16,2000
lao,2506.2,2005
lao,2599.83,2010
lao,2693.45,2015
lao,2693.45,9999
lbn,7.8,2005
lbn,8,2010
lbr,8,1990
lbr,3844,2000
lbr,3844,2005
lbr,1065,2010
lbr,1065,2015
lbr,1065,9999
lby,0,1990
lby,0,2000
lby,0,2005
lby,0,2010
lby,0,2015
lby,0,9999
lca,0,1990
lca,0,2000
lca,0,2005
lca,0,2010
lca,0,2015
lca,0,9999
lie,2.08,1990
lie,2.21,2000
lie,2.21,2005
lie,2.21,2010
lie,2.21,2015
lie,2.21,9999
lka,223,1990
lka,198,2000
lka,158,2005
lka,167,2010
lka,177,2015
lka,177,9999
lso,6,1990
